datetime,Mean CH - layer 2 (Principal Aquifer (Outside Corcoran))
12/1/1952,162.1654229
1/1/1953,162.1349122
2/1/1953,162.1173454
3/1/1953,162.1049743
4/1/1953,162.0982887
5/1/1953,162.0953307
6/1/1953,162.0940239
7/1/1953,162.093349
8/1/1953,162.0870051
9/1/1953,162.0923375
10/1/1953,162.0908972
11/1/1953,162.0789045
12/1/1953,162.0594034
1/1/1954,162.0717312
2/1/1954,162.0555241
3/1/1954,162.0397387
4/1/1954,161.9764444
5/1/1954,161.7400337
6/1/1954,161.4907846
7/1/1954,160.8160417
8/1/1954,159.4970611
9/1/1954,158.1129633
10/1/1954,157.1340347
11/1/1954,156.1800821
12/1/1954,155.6856365
1/1/1955,155.3633691
2/1/1955,155.2331986
3/1/1955,155.1605987
4/1/1955,155.0979737
5/1/1955,155.0547631
6/1/1955,155.0283568
7/1/1955,155.0152466
8/1/1955,155.003471
9/1/1955,154.995106
10/1/1955,154.9938344
11/1/1955,154.9931964
12/1/1955,154.9927981
1/1/1956,154.9925038
2/1/1956,154.9923235
3/1/1956,154.9922241
4/1/1956,154.992205
5/1/1956,154.992205
6/1/1956,154.992205
7/1/1956,154.992205
8/1/1956,154.992205
9/1/1956,154.992205
10/1/1956,154.992205
11/1/1956,154.992205
12/1/1956,154.992205
1/1/1957,154.992205
2/1/1957,154.992205
3/1/1957,154.992205
4/1/1957,154.992205
5/1/1957,154.992205
6/1/1957,154.992205
7/1/1957,154.992205
8/1/1957,154.992205
9/1/1957,154.992205
10/1/1957,154.992205
11/1/1957,154.992205
12/1/1957,154.992205
1/1/1958,154.992205
2/1/1958,154.992205
3/1/1958,154.992205
4/1/1958,154.992205
5/1/1958,154.992205
6/1/1958,154.992205
7/1/1958,154.992205
8/1/1958,154.992205
9/1/1958,154.992205
10/1/1958,154.992205
11/1/1958,154.992205
12/1/1958,154.992205
1/1/1959,154.992205
2/1/1959,154.992205
3/1/1959,154.992205
4/1/1959,154.992205
5/1/1959,154.992205
6/1/1959,154.992205
7/1/1959,154.992205
8/1/1959,154.992205
9/1/1959,154.992205
10/1/1959,154.992205
11/1/1959,154.992205
12/1/1959,154.992205
1/1/1960,154.992205
2/1/1960,154.992205
3/1/1960,154.992205
4/1/1960,154.992205
5/1/1960,154.992205
6/1/1960,154.992205
7/1/1960,154.992205
8/1/1960,154.992205
9/1/1960,154.992205
10/1/1960,154.992205
11/1/1960,154.992205
12/1/1960,154.992205
1/1/1961,154.992205
2/1/1961,154.992205
3/1/1961,154.992205
4/1/1961,154.992205
5/1/1961,154.992205
6/1/1961,154.992205
7/1/1961,154.992205
8/1/1961,154.992205
9/1/1961,154.992205
10/1/1961,154.9865933
11/1/1961,154.9823811
12/1/1961,154.9723916
1/1/1962,154.9599065
2/1/1962,154.9079263
3/1/1962,154.8272817
4/1/1962,154.6265756
5/1/1962,154.5207044
6/1/1962,154.3931295
7/1/1962,154.2901113
8/1/1962,154.2092594
9/1/1962,154.1483349
10/1/1962,154.1078197
11/1/1962,154.0834705
12/1/1962,154.0490376
1/1/1963,154.0222147
2/1/1963,154.0037366
3/1/1963,153.9791727
4/1/1963,153.9664084
5/1/1963,153.958437
6/1/1963,153.9437722
7/1/1963,153.9433167
8/1/1963,153.9451257
9/1/1963,153.9383754
10/1/1963,153.941901
11/1/1963,153.9361542
12/1/1963,153.935377
1/1/1964,153.9345315
2/1/1964,153.9334886
3/1/1964,153.9321324
4/1/1964,153.9301677
5/1/1964,153.9275733
6/1/1964,153.8716631
7/1/1964,152.2999682
8/1/1964,150.0616688
9/1/1964,148.0873593
10/1/1964,145.1614526
11/1/1964,142.1653264
12/1/1964,140.151275
1/1/1965,139.0520511
2/1/1965,138.3611824
3/1/1965,137.9854337
4/1/1965,137.7772742
5/1/1965,137.6493652
6/1/1965,137.5338452
7/1/1965,137.453075
8/1/1965,137.3747298
9/1/1965,137.3139639
10/1/1965,137.2645942
11/1/1965,137.2281158
12/1/1965,137.2217459
1/1/1966,137.2058362
2/1/1966,137.195467
3/1/1966,137.1942793
4/1/1966,137.1940109
5/1/1966,137.1878929
6/1/1966,137.1878929
7/1/1966,137.1878929
8/1/1966,137.1878929
9/1/1966,137.1878929
10/1/1966,137.1878929
11/1/1966,137.1878929
12/1/1966,137.1878929
1/1/1967,137.1878929
2/1/1967,137.1878929
3/1/1967,137.1878929
4/1/1967,137.1878929
5/1/1967,137.1878929
6/1/1967,137.1878929
7/1/1967,137.1878929
8/1/1967,137.193382
9/1/1967,137.1928127
10/1/1967,137.1979007
11/1/1967,137.2022421
12/1/1967,137.2011511
1/1/1968,137.2001394
2/1/1968,137.1996166
3/1/1968,137.1994234
4/1/1968,137.1993585
5/1/1968,137.1993336
6/1/1968,137.1993336
7/1/1968,137.1993336
8/1/1968,137.1993336
9/1/1968,137.1993336
10/1/1968,137.1993265
11/1/1968,137.1992822
12/1/1968,137.199219
1/1/1969,137.1991321
2/1/1969,137.1990248
3/1/1969,137.1989121
4/1/1969,137.1987674
5/1/1969,137.1986063
6/1/1969,137.2035814
7/1/1969,137.2032688
8/1/1969,137.202687
9/1/1969,137.2018946
10/1/1969,137.2006717
11/1/1969,137.1990602
12/1/1969,137.1922748
1/1/1970,137.1902198
2/1/1970,137.187966
3/1/1970,137.1907436
4/1/1970,137.1891249
5/1/1970,137.1886136
6/1/1970,137.1975398
7/1/1970,137.197468
8/1/1970,137.197468
9/1/1970,137.197468
10/1/1970,137.197468
11/1/1970,137.197468
12/1/1970,137.197468
1/1/1971,137.197468
2/1/1971,137.197468
3/1/1971,137.197468
4/1/1971,137.197468
5/1/1971,137.197468
6/1/1971,137.197468
7/1/1971,137.197468
8/1/1971,137.197468
9/1/1971,137.197468
10/1/1971,137.197468
11/1/1971,137.197468
12/1/1971,137.197468
1/1/1972,137.197386
2/1/1972,137.1964468
3/1/1972,137.1939809
4/1/1972,137.1898089
5/1/1972,137.1834705
6/1/1972,137.182467
7/1/1972,137.1538194
8/1/1972,137.1267039
9/1/1972,137.0964788
10/1/1972,137.0418626
11/1/1972,136.8764568
12/1/1972,136.343481
1/1/1973,135.7837536
2/1/1973,135.4290037
3/1/1973,135.2787592
4/1/1973,135.1849594
5/1/1973,135.1101007
6/1/1973,135.0447295
7/1/1973,135.0000177
8/1/1973,134.9512121
9/1/1973,134.9221205
10/1/1973,134.8864841
11/1/1973,134.8430922
12/1/1973,134.7768884
1/1/1974,134.6410522
2/1/1974,134.5178812
3/1/1974,134.4636218
4/1/1974,134.4104667
5/1/1974,134.3798139
6/1/1974,134.3530513
7/1/1974,134.334635
8/1/1974,134.3203654
9/1/1974,134.3075121
10/1/1974,134.2937543
11/1/1974,134.2667227
12/1/1974,134.2373629
1/1/1975,134.2142533
2/1/1975,134.1829168
3/1/1975,134.1511729
4/1/1975,134.1279224
5/1/1975,134.0989241
6/1/1975,134.0766457
7/1/1975,134.0562084
8/1/1975,134.0321418
9/1/1975,134.0139994
10/1/1975,134.0011831
11/1/1975,133.9844477
12/1/1975,133.9666324
1/1/1976,133.9398169
2/1/1976,133.9006708
3/1/1976,133.858084
4/1/1976,133.7633534
5/1/1976,133.6796838
6/1/1976,133.5230458
7/1/1976,133.3187345
8/1/1976,133.0111462
9/1/1976,132.5887406
10/1/1976,132.2282506
11/1/1976,131.9088669
12/1/1976,131.6311589
1/1/1977,131.3776766
2/1/1977,131.1725097
3/1/1977,131.0187417
4/1/1977,130.7966012
5/1/1977,130.5529212
6/1/1977,130.2871052
7/1/1977,130.0133659
8/1/1977,129.8483803
9/1/1977,129.6974226
10/1/1977,129.5159189
11/1/1977,129.3029684
12/1/1977,129.0527576
1/1/1978,128.5907245
2/1/1978,127.8407246
3/1/1978,127.2030994
4/1/1978,126.8462099
5/1/1978,126.3122062
6/1/1978,125.6365009
7/1/1978,124.4682879
8/1/1978,123.788336
9/1/1978,123.1867201
10/1/1978,122.9006388
11/1/1978,122.7145169
12/1/1978,122.6163551
1/1/1979,122.5503119
2/1/1979,122.4926137
3/1/1979,122.4502657
4/1/1979,122.410023
5/1/1979,122.3891304
6/1/1979,122.3824792
7/1/1979,122.3763078
8/1/1979,122.3732538
9/1/1979,122.3664605
10/1/1979,122.3654098
11/1/1979,122.3644783
12/1/1979,122.3635424
1/1/1980,122.3623954
2/1/1980,122.3608626
3/1/1980,122.3591913
4/1/1980,122.3574027
5/1/1980,122.3559242
6/1/1980,122.3548897
7/1/1980,122.3543623
8/1/1980,122.3540891
9/1/1980,122.3539579
10/1/1980,122.3538957
11/1/1980,122.3538635
12/1/1980,122.3538635
1/1/1981,122.3538635
2/1/1981,122.3538635
3/1/1981,122.3538635
4/1/1981,122.3538635
5/1/1981,122.3538635
6/1/1981,122.3538635
7/1/1981,122.3538635
8/1/1981,122.3538635
9/1/1981,122.346619
10/1/1981,121.9710655
11/1/1981,120.8477937
12/1/1981,120.5129264
1/1/1982,120.5158472
2/1/1982,120.5083356
3/1/1982,120.5080471
4/1/1982,120.5072134
