datetime,Mean CH - layer 3 (Lower Semi-Confined Aquifer)
5/1/1960,168.4068584
6/1/1960,168.364465
7/1/1960,168.3230293
8/1/1960,168.2720976
9/1/1960,168.2060333
10/1/1960,168.1493569
11/1/1960,168.0807593
12/1/1960,168.013641
1/1/1961,167.95734
2/1/1961,167.9206125
3/1/1961,167.9015836
4/1/1961,167.8791368
5/1/1961,167.8587075
6/1/1961,167.844895
7/1/1961,167.8173928
8/1/1961,167.7914028
9/1/1961,167.7675653
10/1/1961,167.7516834
11/1/1961,167.7470077
12/1/1961,167.7156796
1/1/1962,167.652827
2/1/1962,167.6141286
3/1/1962,167.584914
4/1/1962,167.569107
5/1/1962,167.5590461
6/1/1962,167.5472671
7/1/1962,167.5049128
8/1/1962,167.1357951
9/1/1962,165.6371156
10/1/1962,163.924204
11/1/1962,161.9207345
12/1/1962,160.4157235
1/1/1963,158.5879211
2/1/1963,156.5531762
3/1/1963,154.9533064
4/1/1963,153.5673938
5/1/1963,152.9253317
6/1/1963,152.4462309
7/1/1963,151.9802826
8/1/1963,151.3678244
9/1/1963,151.020283
10/1/1963,150.7823041
11/1/1963,150.5731798
12/1/1963,150.3619809
1/1/1964,150.1717164
2/1/1964,149.9983261
3/1/1964,149.8091333
4/1/1964,149.2754414
5/1/1964,148.0539182
6/1/1964,147.4218989
7/1/1964,145.8333235
8/1/1964,144.057519
9/1/1964,141.781876
10/1/1964,139.5735667
11/1/1964,136.8725199
12/1/1964,135.2156883
1/1/1965,134.5069018
2/1/1965,134.0361801
3/1/1965,133.7459266
4/1/1965,133.4953193
5/1/1965,133.2404531
6/1/1965,133.0190496
7/1/1965,132.8211406
8/1/1965,132.6515003
9/1/1965,132.481782
10/1/1965,132.3233713
11/1/1965,132.1796699
12/1/1965,132.0534944
1/1/1966,131.924789
2/1/1966,131.8045924
3/1/1966,131.6933154
4/1/1966,131.5683486
5/1/1966,131.4652299
6/1/1966,131.3247001
7/1/1966,131.1795715
8/1/1966,131.0230739
9/1/1966,130.8076746
10/1/1966,130.5624055
11/1/1966,130.3010762
12/1/1966,129.9723846
1/1/1967,129.4377106
2/1/1967,128.4026383
3/1/1967,127.8857967
4/1/1967,127.0841693
5/1/1967,126.5689614
6/1/1967,126.3187564
