datetime,layer 3 (Lower Aquifer)
05/01/1982,-174.7960571
06/01/1982,-174.7960571
07/01/1982,-174.7960571
08/01/1982,-174.7960571
09/01/1982,-174.7960571
10/01/1982,-174.7960571
11/01/1982,-174.7960571
12/01/1982,-174.7960571
01/01/1983,-174.7960571
02/01/1983,-174.7960571
03/01/1983,-174.7960571
04/01/1983,-174.7960571
05/01/1983,-174.7960571
06/01/1983,-174.7960571
07/01/1983,-174.7960571
08/01/1983,-174.7960571
09/01/1983,-174.7960571
10/01/1983,-174.7960571
11/01/1983,-174.7960571
12/01/1983,-174.7960571
01/01/1984,-174.7960571
02/01/1984,-174.7960571
03/01/1984,-174.7960571
04/01/1984,-174.7960571
05/01/1984,-174.7960571
06/01/1984,-174.7960571
07/01/1984,-174.7960571
08/01/1984,-174.7960571
09/01/1984,-174.7960571
10/01/1984,-174.7960571
11/01/1984,-174.7960571
12/01/1984,-174.7960571
01/01/1985,-174.7809982
02/01/1985,-174.7809982
03/01/1985,-174.7809982
04/01/1985,-174.7809982
05/01/1985,-174.7809982
06/01/1985,-174.7809982
07/01/1985,-174.7809982
08/01/1985,-174.7809982
09/01/1985,-174.7809982
10/01/1985,-174.7809982
11/01/1985,-174.7809982
12/01/1985,-174.7809982
01/01/1986,-174.7809982
02/01/1986,-174.7809982
03/01/1986,-174.7809982
04/01/1986,-174.7809982
05/01/1986,-174.7809982
06/01/1986,-174.7809982
07/01/1986,-174.7809982
08/01/1986,-174.7809982
09/01/1986,-174.7809982
10/01/1986,-174.7809982
11/01/1986,-174.7809982
12/01/1986,-174.7809982
01/01/1987,-174.7809982
02/01/1987,-174.7809982
03/01/1987,-174.7809982
04/01/1987,-174.7809982
05/01/1987,-174.7809982
06/01/1987,-174.7809982
07/01/1987,-174.7809982
08/01/1987,-174.7809982
09/01/1987,-174.7809982
10/01/1987,-174.7809982
11/01/1987,-174.7809982
12/01/1987,-174.7809982
01/01/1988,-174.7809982
02/01/1988,-174.7809982
03/01/1988,-174.7809982
04/01/1988,-174.7809982
05/01/1988,-174.7809982
06/01/1988,-174.7809982
07/01/1988,-174.7809982
08/01/1988,-174.7809982
09/01/1988,-174.7809982
10/01/1988,-174.7809982
11/01/1988,-174.7809982
12/01/1988,-174.7809982
01/01/1989,-174.7809982
02/01/1989,-174.7809982
03/01/1989,-174.7809982
04/01/1989,-174.7809982
05/01/1989,-174.7809982
06/01/1989,-174.7809982
07/01/1989,-174.7809982
08/01/1989,-174.7809982
09/01/1989,-174.7809982
10/01/1989,-174.7809982
11/01/1989,-174.7809982
12/01/1989,-174.7809982
01/01/1990,-174.7809982
02/01/1990,-174.7809982
03/01/1990,-174.7809982
04/01/1990,-174.7809982
05/01/1990,-174.7809982
06/01/1990,-174.7809982
07/01/1990,-174.7809982
08/01/1990,-174.7809982
09/01/1990,-174.7809982
10/01/1990,-174.7809982
11/01/1990,-174.7809982
12/01/1990,-174.7809982
01/01/1991,-174.7809982
02/01/1991,-174.7809982
03/01/1991,-174.7809982
04/01/1991,-174.7809982
05/01/1991,-174.7809982
06/01/1991,-174.7809982
07/01/1991,-174.7809982
08/01/1991,-174.7809982
09/01/1991,-174.7809982
10/01/1991,-174.7809982
11/01/1991,-174.7809982
12/01/1991,-174.7809982
01/01/1992,-174.7809982
02/01/1992,-174.7809982
03/01/1992,-174.7809982
04/01/1992,-174.7809982
05/01/1992,-174.7809982
06/01/1992,-174.7809982
07/01/1992,-174.7809982
08/01/1992,-174.7809982
09/01/1992,-174.7809982
10/01/1992,-174.7809982
11/01/1992,-174.7809982
12/01/1992,-174.7809982
01/01/1993,-174.7809982
02/01/1993,-174.7809982
03/01/1993,-174.7809982
04/01/1993,-174.7809982
05/01/1993,-174.7809982
06/01/1993,-174.7809982
07/01/1993,-174.7809982
08/01/1993,-174.7809982
09/01/1993,-174.7809982
10/01/1993,-174.7809982
11/01/1993,-174.7809982
12/01/1993,-174.7809982
01/01/1994,-174.7809982
02/01/1994,-174.7809982
03/01/1994,-174.7809982
04/01/1994,-174.7809982
05/01/1994,-174.7809982
06/01/1994,-174.7809982
07/01/1994,-174.7809982
08/01/1994,-174.7809982
09/01/1994,-174.7809982
10/01/1994,-174.7809982
11/01/1994,-174.7809982
12/01/1994,-174.7809982
01/01/1995,-174.7809982
02/01/1995,-174.7809982
03/01/1995,-174.7809982
04/01/1995,-174.7809982
05/01/1995,-174.7809982
06/01/1995,-174.7809982
07/01/1995,-174.7809982
08/01/1995,-174.7809982
09/01/1995,-174.7809982
10/01/1995,-174.7809982
11/01/1995,-174.7809982
12/01/1995,-174.7809982
01/01/1996,-174.7809982
02/01/1996,-174.7809982
03/01/1996,-174.7809982
04/01/1996,-174.7809982
05/01/1996,-174.7809982
06/01/1996,-174.7809982
07/01/1996,-174.7809982
08/01/1996,-174.7809982
09/01/1996,-174.7809982
10/01/1996,-174.7809982
11/01/1996,-174.7809982
12/01/1996,-174.7809982
01/01/1997,-174.7809982
02/01/1997,-174.7809982
03/01/1997,-174.7809982
04/01/1997,-174.7809982
05/01/1997,-174.7809982
06/01/1997,-174.7809982
07/01/1997,-174.7809982
08/01/1997,-174.7809982
09/01/1997,-174.7809982
10/01/1997,-174.7809982
11/01/1997,-174.7809982
12/01/1997,-174.7809982
01/01/1998,-174.7809982
02/01/1998,-174.7809982
03/01/1998,-174.7809982
04/01/1998,-174.7809982
05/01/1998,-174.7809982
06/01/1998,-174.7809982
07/01/1998,-174.7809982
08/01/1998,-174.7809982
09/01/1998,-174.7809982
10/01/1998,-174.7809982
11/01/1998,-174.7809982
12/01/1998,-174.7809982
01/01/1999,-174.7809982
02/01/1999,-174.7809982
03/01/1999,-174.7809982
04/01/1999,-174.7809982
05/01/1999,-174.7809982
06/01/1999,-174.7809982
07/01/1999,-174.7809982
08/01/1999,-174.7809982
09/01/1999,-174.7809982
10/01/1999,-174.7809982
11/01/1999,-174.7809982
12/01/1999,-174.7809982
01/01/2000,-174.7809982
02/01/2000,-174.7809982
03/01/2000,-174.7809982
04/01/2000,-174.7809982
05/01/2000,-174.7809982
06/01/2000,-174.7809982
07/01/2000,-174.7809982
08/01/2000,-174.7809982
09/01/2000,-174.7809982
10/01/2000,-174.7809982
11/01/2000,-174.7809982
12/01/2000,-174.7809982
01/01/2001,-174.7809982
02/01/2001,-174.7809982
03/01/2001,-174.7809982
04/01/2001,-174.7809982
05/01/2001,-174.7809982
06/01/2001,-174.7809982
07/01/2001,-174.7809982
08/01/2001,-174.7809982
09/01/2001,-174.7809982
10/01/2001,-174.7809982
11/01/2001,-174.7809982
12/01/2001,-174.7809982
01/01/2002,-174.7809982
02/01/2002,-174.7809982
03/01/2002,-174.7809982
04/01/2002,-174.7809982
05/01/2002,-174.7809982
