Aquifer,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,,,,
Scenario,No SGMA,,Historical lows,,MT (glidepath not below MT),,MT (glidepath 50% below MT),,No pumping (current level),,Injection (rebound @2020-23 rate),,Optimization,,,,,
Date,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,,,,
2031-07-01 00:00:00,116.6154294,-47.55234337,116.6154294,-6.838666667,89.91484848,27.69412632,,,,,220.67,194.1366667,,,,,,
2031-08-01 00:00:00,116.3317244,-48.30183037,116.3317244,-6.838666667,89.3440404,27.79010526,,,,,220.67,194.1366667,,,,,,
2031-09-01 00:00:00,116.0480193,-49.05131737,116.0480193,-6.838666667,88.77323232,27.88608421,,,,,220.67,194.1366667,,,,,,
2031-10-01 00:00:00,115.7643142,-49.80080438,115.7643142,-6.838666667,88.20242424,27.98206316,,,,,220.67,194.1366667,,,,,,
2031-11-01 00:00:00,115.4806092,-50.55029138,115.4806092,-6.838666667,87.63161616,28.07804211,,,,,220.67,194.1366667,,,,,,
2031-12-01 00:00:00,115.1969041,-51.29977839,115.1969041,-6.838666667,87.06080808,28.17402105,,,,,220.67,194.1366667,,,,,,
2032-01-01 00:00:00,114.9131991,-52.04926539,114.9131991,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2032-02-01 00:00:00,114.629494,-52.79875239,114.629494,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2032-03-01 00:00:00,114.3457889,-53.5482394,114.3457889,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2032-04-01 00:00:00,114.0620839,-54.2977264,114.0620839,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2032-05-01 00:00:00,113.7783788,-55.04721341,113.7783788,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2032-06-01 00:00:00,113.4946738,-55.79670041,113.4946738,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2032-07-01 00:00:00,113.2109687,-56.54618741,113.2109687,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2032-08-01 00:00:00,112.9272636,-57.29567442,112.9272636,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2032-09-01 00:00:00,112.6435586,-58.04516142,112.6435586,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2032-10-01 00:00:00,112.3598535,-58.79464843,112.3598535,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2032-11-01 00:00:00,112.0761485,-59.54413543,112.0761485,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2032-12-01 00:00:00,111.7924434,-60.29362244,111.7924434,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2033-01-01 00:00:00,111.5087383,-61.04310944,111.5087383,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2033-02-01 00:00:00,111.2250333,-61.79259644,111.2250333,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2033-03-01 00:00:00,110.9413282,-62.54208345,110.9413282,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2033-04-01 00:00:00,110.6576232,-63.29157045,110.6576232,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2033-05-01 00:00:00,110.3739181,-64.04105746,110.3739181,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2033-06-01 00:00:00,110.090213,-64.79054446,110.090213,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2033-07-01 00:00:00,109.806508,-65.54003146,109.806508,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2033-08-01 00:00:00,109.5228029,-66.28951847,109.5228029,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2033-09-01 00:00:00,109.2390979,-67.03900547,109.2390979,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2033-10-01 00:00:00,108.9553928,-67.78849248,108.9553928,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2033-11-01 00:00:00,108.6716877,-68.53797948,108.6716877,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2033-12-01 00:00:00,108.3879827,-69.28746648,108.3879827,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
