datetime,Mean CH  - layer 2 (Principal Aquifer (Outside Corcoran))
7/1/1941,183.3572784
8/1/1941,183.3572784
9/1/1941,183.3572784
10/1/1941,183.3572784
11/1/1941,183.3572784
12/1/1941,183.3572784
1/1/1942,183.3572784
2/1/1942,183.3572784
3/1/1942,183.3572784
4/1/1942,183.3572784
5/1/1942,183.3572784
6/1/1942,183.3572784
7/1/1942,183.3572784
8/1/1942,183.3572784
9/1/1942,183.3572784
10/1/1942,183.3572784
11/1/1942,183.3572784
12/1/1942,183.3572784
1/1/1943,183.3572784
2/1/1943,183.3572784
3/1/1943,183.3572784
4/1/1943,183.3572784
5/1/1943,183.3572784
6/1/1943,183.3572784
7/1/1943,183.3572784
8/1/1943,183.3572784
9/1/1943,183.3572784
10/1/1943,183.3572784
11/1/1943,183.3572784
12/1/1943,183.3572784
1/1/1944,183.3572784
2/1/1944,183.3572784
3/1/1944,183.3572784
4/1/1944,183.3572784
5/1/1944,183.3572784
6/1/1944,183.3572784
7/1/1944,183.3572784
8/1/1944,183.3572784
9/1/1944,183.3572784
10/1/1944,183.3572784
11/1/1944,183.3572784
12/1/1944,183.3572784
1/1/1945,183.3572784
2/1/1945,183.3572784
3/1/1945,183.3572784
4/1/1945,183.3572784
5/1/1945,183.3572784
6/1/1945,183.3572784
7/1/1945,183.3572784
8/1/1945,183.3572784
9/1/1945,183.3572784
10/1/1945,183.3572784
11/1/1945,183.3572784
12/1/1945,183.3572784
1/1/1946,183.3572784
2/1/1946,183.3572784
3/1/1946,183.3572784
4/1/1946,183.3572784
5/1/1946,183.3572784
6/1/1946,183.3572784
7/1/1946,183.3572784
8/1/1946,183.3572784
9/1/1946,183.3572784
10/1/1946,183.3572784
11/1/1946,183.3572784
12/1/1946,183.3572784
1/1/1947,183.3572784
2/1/1947,183.3572784
3/1/1947,183.3572784
4/1/1947,183.3572784
5/1/1947,183.3572784
6/1/1947,183.3572784
7/1/1947,183.3572784
8/1/1947,183.3572784
9/1/1947,183.3572784
10/1/1947,183.3572784
11/1/1947,183.3572784
12/1/1947,183.3572784
1/1/1948,183.3572784
2/1/1948,183.3572784
3/1/1948,183.3572784
4/1/1948,183.3572784
5/1/1948,183.3572784
6/1/1948,183.3572784
7/1/1948,183.3572784
8/1/1948,183.3572784
9/1/1948,183.3572784
10/1/1948,183.3572784
11/1/1948,183.3572784
12/1/1948,183.3572784
1/1/1949,183.3572784
2/1/1949,183.3572784
3/1/1949,183.3572784
4/1/1949,183.3572784
5/1/1949,183.3572784
6/1/1949,183.3572784
7/1/1949,183.3572784
8/1/1949,183.3572784
9/1/1949,183.3572784
10/1/1949,183.3572784
11/1/1949,183.3572784
12/1/1949,183.3572784
1/1/1950,183.3572784
2/1/1950,183.3572784
3/1/1950,183.3572784
4/1/1950,183.3572784
5/1/1950,183.3572784
6/1/1950,183.3572784
7/1/1950,183.3572784
8/1/1950,183.3572784
9/1/1950,183.3572784
10/1/1950,183.3572784
11/1/1950,183.3572784
12/1/1950,183.3572784
1/1/1951,183.3572784
2/1/1951,183.3572784
